credit_policy,purpose,interest_rate,installment,log_annual_income,debt_income_ratio,fico,days_with_credit_line,revolve_balance,revolve_utilized,inquiries_last_6_mon,delinquent_2_yrs,public_recs,default,income_installment_ratio,debt_to_credit_ratio
1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0,8.543400513090644,0.3394588219924962
1,credit_card,0.1071,228.22,11.08214255,14.29,707,2760.0,33623,76.7,0,0,0,0,23.73440834609321,0.5172769224964213
1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710.0,3511,25.6,1,0,0,0,7.268894569904136,0.10971875019550383
1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0,43.6327052199301,0.3960823511478953
1,credit_card,0.1426,102.92,11.29973224,14.97,667,4066.0,4740,39.5,0,1,0,0,65.4229819565826,0.058663366601157695
1,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51.0,0,0,0,0,98.56415966964673,0.3432905414833028
1,debt_consolidation,0.1496,194.02,10.71441777,4.0,667,3180.041667,3839,76.8,0,0,1,1,19.327904363871195,0.08531111100468175
1,all_other,0.1114,131.22,11.00209984,11.08,722,5116.0,24220,68.6,0,0,0,1,38.10394752308192,0.4036666671527775
1,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989.0,69909,51.1,1,0,0,0,86.01903893975204,0.7767666661325641
1,debt_consolidation,0.1221,84.12,10.20359214,10.0,707,2730.041667,5630,23.0,1,0,0,0,26.747503432958275,0.20851851955828912
1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71.0,2,0,1,0,7.860980837161604,0.40723529558300087
1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298.0,5122,18.2,2,1,0,0,45.350579510992844,0.03711594218262109
1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,0,14.762793546505966,0.10835714282650873
1,small_business,0.0714,92.82,11.51292546,6.5,747,4384.0,3021,4.8,0,1,0,0,89.7795010979828,0.030210000150150604
1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,0,5.249594351761433,0.4759090907065739
1,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,0,11.733276336958516,0.11696591208914993
1,all_other,0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,0,39.85068845508268,0.05951227416947228
1,credit_card,0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,0,19.234266278274223,0.06896363669290691
1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,2760.0,8311,59.8,0,0,0,0,5.135930986244705,0.23086111051970212
1,major_purchase,0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,0,28.793550210070883,0.009850000011861745
1,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0,33.24114447537335,0.397293334333896
1,all_other,0.0863,474.42,10.81977828,2.59,797,11951.0,5656,27.6,0,0,0,0,8.782653868493076,0.11312000049889129
1,credit_card,0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,0,24.538672826604127,0.21162000105179976
1,credit_card,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0,21.484307941364214,0.13544799949673453
1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,0,20.300446697691264,0.06182051255293685
1,all_other,0.0901,159.03,12.4292162,10.0,712,1553.958333,14354,36.6,0,2,0,0,131.0025366224949,0.05741599981881707
1,all_other,0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0,34.86077148117771,0.024246153818944176
1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0,7.177439348193907,0.18977272733733597
1,all_other,0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0,107.26391260885417,0.01581999992928736
