credit_policy,purpose,interest_rate,installment,log_annual_income,debt_income_ratio,fico,days_with_credit_line,revolve_balance,revolve_utilized,inquiries_last_6_mon,delinquent_2_yrs,public_recs,income_installment_ratio,debt_to_credit_ratio
1,credit_card,0.1426,548.9,11.36210258,12.71,687,5264.041667,16799,74.7,1,1,0,13.05641592423249,0.1953372083716697
1,credit_card,0.0751,155.55,11.04132055,12.75,737,5160.0,11757,42.6,0,0,0,33.42976520309161,0.1884134623594767
1,debt_consolidation,0.0983,136.0,10.77895629,11.93,717,6329.041667,19708,37.1,0,1,0,29.411764709116824,0.4105833332881806
1,all_other,0.1357,339.69,11.60823564,16.12,687,3330.0,1584,49.5,1,0,0,26.98538850981757,0.0144000000687535
0,debt_consolidation,0.1312,438.78,11.65442503,10.33,662,660.0,0,0.0,4,0,0,21.878845951178945,0.0
1,home_improvement,0.08,125.35,11.15619338,8.78,757,2790.0,3008,8.7,0,0,0,46.53370578518248,0.0429738840733363
1,small_business,0.1531,60.93,9.61580548,22.72,692,1832.0,4197,56.0,0,0,0,20.515345476687457,0.2798000000236001
1,credit_card,0.133,318.09,10.81977828,17.04,662,6179.0,5181,97.8,3,0,1,13.09901803983302,0.1036200004569935
1,major_purchase,0.1033,181.57,11.3736634,5.41,712,6858.0,15132,33.9,0,0,0,39.92950386701423,0.173931034071711
1,debt_consolidation,0.16,189.85,10.81977828,10.61,662,3119.958333,1487,92.9,0,0,0,21.947151162973324,0.0297400001311618
1,debt_consolidation,0.1379,190.83,10.46321762,12.89,687,1770.0,8364,48.1,1,0,0,15.28585652677388,0.2389441205896599
1,debt_consolidation,0.1253,158.97,9.472396897,11.63,697,4140.0,4996,38.4,3,0,0,6.812606153541689,0.384425977142644
1,debt_consolidation,0.1568,525.03,11.69524702,19.87,682,5010.041667,87502,96.4,0,1,0,19.046530640836085,0.7291833346197462
1,debt_consolidation,0.1357,407.63,11.60823564,10.46,677,8339.958333,7259,59.0,0,0,1,22.487713423692885,0.0659909094059861
1,debt_consolidation,0.1014,452.67,11.22524339,16.54,722,4800.0,14214,39.4,0,0,0,13.806967513331342,0.1895200004772963
1,home_improvement,0.1126,427.23,11.21187442,15.31,742,5580.0,957,16.8,2,0,0,14.43484767110189,0.0129317334816222
1,all_other,0.1114,328.04,9.980448594,8.28,727,2031.958333,4328,10.3,2,0,0,5.487135716955064,0.2003703703047001
1,credit_card,0.0963,417.23,10.71441777,8.16,787,6630.0,176,0.3,3,0,0,8.98784844013683,0.0039111111062318
1,debt_consolidation,0.16,351.58,10.73639668,14.3,692,1984.958333,9729,98.3,0,0,0,10.903161017957824,0.2114999990421655
1,educational,0.1286,50.44,10.48514436,13.45,662,4619.958333,10363,71.0,2,0,1,59.113137895017545,0.2896310779642501
